phrase,pin,value,action
set pin one hundred and thirteen to five hundred and eighteen,one hundred and thirteen,five hundred and eighteen,set
add the pin two hundred and forty six,two hundred and forty six,,add
set the pin six hundred and twenty eight to two hundred and twenty nine,six hundred and twenty eight,two hundred and twenty nine,set
add pin eight hundred,eight hundred,,add
delete pin nine hundred and forty,nine hundred and forty,,delete
turn the pin eight hundred and nineteen off,eight hundred and nineteen,off,turn
set the pin nine hundred and forty three to three hundred and eighty nine,nine hundred and forty three,three hundred and eighty nine,set
delete the pin nine hundred and eleven,nine hundred and eleven,,delete
set pin six hundred and thirty two to six hundred and seventy five,six hundred and thirty two,six hundred and seventy five,set
delete the pin two hundred and seven,two hundred and seven,,delete
add the pin five hundred and seventeen,five hundred and seventeen,,add
change the pin six hundred and one to one hundred and two,six hundred and one,one hundred and two,change
delete pin five hundred and seventy three,five hundred and seventy three,,delete
delete pin three hundred and sixty one,three hundred and sixty one,,delete
turn on pin seven hundred and thirty two,seven hundred and thirty two,on,turn
set the pin nine hundred and fifty five to two hundred and eighteen,nine hundred and fifty five,two hundred and eighteen,set
delete the pin one hundred and five,one hundred and five,,delete
add pin seven hundred and ninety eight,seven hundred and ninety eight,,add
change pin one hundred and forty one to eight hundred and sixty,one hundred and forty one,eight hundred and sixty,change
turn on the pin seventy four,seventy four,on,turn
set pin three to sixty six,three,sixty six,set
change the pin three hundred and forty four to three hundred and fifteen,three hundred and forty four,three hundred and fifteen,change
change pin eight hundred and thirty seven to two hundred and forty,eight hundred and thirty seven,two hundred and forty,change
set pin eight hundred and seventy to five hundred and ninety eight,eight hundred and seventy,five hundred and ninety eight,set
delete pin nine hundred and thirty six,nine hundred and thirty six,,delete
turn the pin six hundred and thirty seven off,six hundred and thirty seven,off,turn
delete the pin four hundred and seventy three,four hundred and seventy three,,delete
set pin seven hundred and three to two hundred and fifty two,seven hundred and three,two hundred and fifty two,set
add pin six hundred and seventy six,six hundred and seventy six,,add
turn off the pin three hundred and forty three,three hundred and forty three,off,turn
add pin one hundred and seventy one,one hundred and seventy one,,add
turn off pin three hundred and thirty eight,three hundred and thirty eight,off,turn
delete pin four hundred and forty nine,four hundred and forty nine,,delete
change pin five hundred and eight to six hundred and ninety one,five hundred and eight,six hundred and ninety one,change
set the pin seven hundred and ninety eight to nine hundred and thirty two,seven hundred and ninety eight,nine hundred and thirty two,set
delete pin nine hundred and forty one,nine hundred and forty one,,delete
turn on music,music,on,turn
add the pin one hundred and seventy nine,one hundred and seventy nine,,add
change the pin one hundred and twenty six to two hundred and eighty two,one hundred and twenty six,two hundred and eighty two,change
change pin seven hundred and ninety one to one thousand and two,seven hundred and ninety one,one thousand and two,change
set pin eighty three to forty eight,eighty three,forty eight,set
delete pin three hundred and fifty seven,three hundred and fifty seven,,delete
set the pin six hundred and forty four to nine hundred and seventy two,six hundred and forty four,nine hundred and seventy two,set
set the pin one hundred and fifty six to one thousand and twenty,one hundred and fifty six,one thousand and twenty,set
delete pin five hundred and thirty two,five hundred and thirty two,,delete
change pin three hundred and twenty four to five hundred and ninety,three hundred and twenty four,five hundred and ninety,change
add pin nine hundred and nineteen,nine hundred and nineteen,,add
set pin one hundred and twenty nine to two hundred and ninety eight,one hundred and twenty nine,two hundred and ninety eight,set
change the pin six hundred and fifty eight to three hundred and six,six hundred and fifty eight,three hundred and six,change
delete the pin five hundred and twenty eight,five hundred and twenty eight,,delete
turn off pin five hundred and eighty seven,five hundred and eighty seven,off,turn
set the pin nine hundred and fifty eight to six hundred and twelve,nine hundred and fifty eight,six hundred and twelve,set
turn off pin three hundred and eighty five,three hundred and eighty five,off,turn
set the pin four hundred and sixty nine to thirty nine percent,four hundred and sixty nine,thirty nine percent,set
delete the pin eight hundred and ninety five,eight hundred and ninety five,,delete
turn off pin two hundred and ninety six,two hundred and ninety six,off,turn
delete the pin seven hundred and thirty eight,seven hundred and thirty eight,,delete
add the pin eight hundred and ninety three,eight hundred and ninety three,,add
add the pin two hundred and thirteen,two hundred and thirteen,,add
set pin four hundred and ninety seven to eight hundred and fourteen,four hundred and ninety seven,eight hundred and fourteen,set
delete the pin six hundred and seventy three,six hundred and seventy three,,delete
delete pin one thousand and eighteen,one thousand and eighteen,,delete
delete pin nine hundred and three,nine hundred and three,,delete
turn off pin two,two,off,turn
change the pin six hundred and fifty eight to two hundred and twelve,six hundred and fifty eight,two hundred and twelve,change
change the pin one hundred and thirty to six hundred and twenty three,one hundred and thirty,six hundred and twenty three,change
turn the pin seven hundred and forty seven on,seven hundred and forty seven,on,turn
turn off pin eight hundred and seven,eight hundred and seven,off,turn
set pin three hundred and nineteen to two hundred and twenty six,three hundred and nineteen,two hundred and twenty six,set
add the pin one hundred and forty five,one hundred and forty five,,add
set the pin eighty three to eight hundred and fifty five,eighty three,eight hundred and fifty five,set
change pin eight hundred and seventy eight to nine hundred and sixteen,eight hundred and seventy eight,nine hundred and sixteen,change
add pin forty six,forty six,,add
add pin two hundred and ninety eight,two hundred and ninety eight,,add
add pin three hundred and five,three hundred and five,,add
turn pin three hundred and seventy one on,three hundred and seventy one,on,turn
